id,status,n_drones,coordinator,controller
894,done,15,dmpc_admm,mpc_agent
895,toBeDone,15,dmpc_admm,mpc_agent_adaptive
1032,done,15,mpc_central,mpc_agent
1033,toBeDone,15,mpc_central,mpc_agent_adaptive
1034,done,15,dmpc_admm,mpc_agent
1035,toBeDone,15,dmpc_admm,mpc_agent_adaptive
1172,done,15,mpc_central,mpc_agent
1173,toBeDone,15,mpc_central,mpc_agent_adaptive
1174,done,15,dmpc_admm,mpc_agent
1175,toBeDone,15,dmpc_admm,mpc_agent_adaptive
1312,done,15,mpc_central,mpc_agent
1313,toBeDone,15,mpc_central,mpc_agent_adaptive
1314,done,15,dmpc_admm,mpc_agent
1315,toBeDone,15,dmpc_admm,mpc_agent_adaptive
1452,done,15,mpc_central,mpc_agent
1453,toBeDone,15,mpc_central,mpc_agent_adaptive
1454,done,15,dmpc_admm,mpc_agent
1455,toBeDone,15,dmpc_admm,mpc_agent_adaptive
1592,done,15,mpc_central,mpc_agent
1593,toBeDone,15,mpc_central,mpc_agent_adaptive
1594,done,15,dmpc_admm,mpc_agent
1595,toBeDone,15,dmpc_admm,mpc_agent_adaptive
1732,done,15,mpc_central,mpc_agent
1733,toBeDone,15,mpc_central,mpc_agent_adaptive
1734,done,15,dmpc_admm,mpc_agent
1735,toBeDone,15,dmpc_admm,mpc_agent_adaptive
1872,done,15,mpc_central,mpc_agent
1873,toBeDone,15,mpc_central,mpc_agent_adaptive
1874,done,15,dmpc_admm,mpc_agent
1875,toBeDone,15,dmpc_admm,mpc_agent_adaptive
2012,done,15,mpc_central,mpc_agent
2013,toBeDone,15,mpc_central,mpc_agent_adaptive
2014,done,15,dmpc_admm,mpc_agent
2015,toBeDone,15,dmpc_admm,mpc_agent_adaptive
2152,done,15,mpc_central,mpc_agent
2153,toBeDone,15,mpc_central,mpc_agent_adaptive
2154,done,15,dmpc_admm,mpc_agent
2155,toBeDone,15,dmpc_admm,mpc_agent_adaptive
2292,done,15,mpc_central,mpc_agent
2293,toBeDone,15,mpc_central,mpc_agent_adaptive
2294,done,15,dmpc_admm,mpc_agent
2295,toBeDone,15,dmpc_admm,mpc_agent_adaptive
2432,done,15,mpc_central,mpc_agent
2433,toBeDone,15,mpc_central,mpc_agent_adaptive
2434,done,15,dmpc_admm,mpc_agent
2435,toBeDone,15,dmpc_admm,mpc_agent_adaptive
2572,done,15,mpc_central,mpc_agent
2573,toBeDone,15,mpc_central,mpc_agent_adaptive
2574,done,15,dmpc_admm,mpc_agent
2575,toBeDone,15,dmpc_admm,mpc_agent_adaptive
2712,done,15,mpc_central,mpc_agent
2713,toBeDone,15,mpc_central,mpc_agent_adaptive
2714,done,15,dmpc_admm,mpc_agent
2715,toBeDone,15,dmpc_admm,mpc_agent_adaptive
56,done,16,mpc_central,mpc_agent
57,toBeDone,16,mpc_central,mpc_agent_adaptive
58,done,16,dmpc_admm,mpc_agent
